CNN-Transformer_equity,CNN-Transformer_drawdown,XGBoost_equity,XGBoost_drawdown,Transformer_equity,Transformer_drawdown,PatchTST_equity,PatchTST_drawdown,LSTM-Transformer_equity,LSTM-Transformer_drawdown,LSTM_equity,LSTM_drawdown,TimeMixer_equity,TimeMixer_drawdown,ModernTCN_equity,ModernTCN_drawdown,TCN_equity,TCN_drawdown,DLinear_equity,DLinear_drawdown
1.00697807,0.00000000,1.00697807,0.00000000,0.99302193,0.00000000,1.00697807,0.00000000,1.00697807,0.00000000,0.99302193,0.00000000,1.00697807,0.00000000,1.00697807,0.00000000,0.99302193,0.00000000,0.99302193,0.00000000
1.01893977,0.00000000,1.01893977,0.00000000,0.98122601,-0.01187881,1.01893977,0.00000000,0.99400939,-0.01287881,0.98122601,-0.01187881,1.01893977,0.00000000,1.01893977,0.00000000,0.98122601,-0.01187881,0.98122601,-0.01187881
1.02471280,0.00000000,1.02471280,0.00000000,0.97566666,-0.01747723,1.01214780,-0.00666572,0.98837761,-0.01847156,0.98580414,-0.00726852,1.02471280,0.00000000,1.01214780,-0.00666572,0.97566666,-0.01747723,0.98580414,-0.00726852
1.01929398,-0.00528814,1.02910690,0.00000000,0.97148287,-0.02169042,1.01547588,-0.00339950,0.98413931,-0.02268049,0.99003140,-0.00301155,1.02910690,0.00000000,1.00780757,-0.01092527,0.97887479,-0.01424656,0.98059107,-0.01251822
1.02227860,-0.00237549,1.02609354,-0.00292813,0.97432750,-0.01882580,1.01743385,-0.00147792,0.98702100,-0.01981877,0.98713246,-0.00593086,1.02609354,-0.00292813,1.01075857,-0.00802913,0.98076219,-0.01234590,0.98346237,-0.00962674
1.02346198,-0.00122065,1.02830743,-0.00077686,0.97545537,-0.01769001,1.01861162,-0.00032205,0.98489141,-0.02193360,0.98926228,-0.00378607,1.02830743,-0.00077686,1.00857777,-0.01016940,0.97864611,-0.01447685,0.98460082,-0.00848029
1.03065259,0.00000000,1.02005447,-0.00879640,0.96762659,-0.02557380,1.01043648,-0.00834523,0.99279593,-0.01408386,0.98132269,-0.01178145,1.02005447,-0.00879640,0.99947458,-0.01910338,0.98650049,-0.00656727,0.97669864,-0.01643800
1.03249229,0.00000000,1.02289531,-0.00603591,0.97032141,-0.02286004,1.00661200,-0.01209863,0.99003101,-0.01682962,0.98405566,-0.00902928,1.02289531,-0.00603591,0.99569158,-0.02281606,0.98826138,-0.00479401,0.97941872,-0.01369880
1.02735996,-0.00497081,1.01781069,-0.01097672,0.96549813,-0.02771722,1.00060170,-0.01799720,0.99495226,-0.01194247,0.97916410,-0.01395521,1.01781069,-0.01097672,0.98974649,-0.02865064,0.98334892,-0.00974099,0.97455022,-0.01860152
1.03352115,0.00000000,1.02391461,-0.00504544,0.97128832,-0.02188634,1.00660242,-0.01210803,0.99992415,-0.00700504,0.98503625,-0.00804179,1.02391461,-0.00504544,0.98282113,-0.03544727,0.97646832,-0.01666994,0.98039470,-0.01271597
