full_equity,full_drawdown,fng_equity,fng_drawdown
1.00697807,0.00000000,1.00697807,0.00000000
1.01893977,0.00000000,1.01893977,0.00000000
1.02471280,0.00000000,1.02471280,0.00000000
1.01929398,-0.00528814,1.02910690,0.00000000
1.02227860,-0.00237549,1.02609354,-0.00292813
1.02346198,-0.00122065,1.02830743,-0.00077686
1.03065259,0.00000000,1.02005447,-0.00879640
1.03249229,0.00000000,1.02289531,-0.00603591
1.02735996,-0.00497081,1.01781069,-0.01097672
1.03352115,0.00000000,1.02391461,-0.00504544
1.03212607,-0.00134983,1.02427281,-0.00469737
1.02691558,-0.00639133,1.02944365,0.00000000
1.02936354,-0.00402276,1.02698966,-0.00238381
1.03820475,0.00000000,1.03478348,0.00000000
1.03891528,0.00000000,1.03549167,0.00000000
1.03936582,0.00000000,1.03400712,-0.00143366
1.03885074,-0.00049557,1.03451955,-0.00093880
1.05581182,0.00000000,1.01762919,-0.01725024
1.05316479,-0.00250710,1.01609552,-0.01873135
1.06136315,0.00000000,1.02400531,-0.01109266
1.06395083,0.00000000,1.02650191,-0.00868164
1.06233306,-0.00152052,1.02494109,-0.01018896
1.05245352,-0.01080623,1.03344794,-0.00197368
1.06962043,0.00000000,1.04927139,0.00000000
1.08257308,0.00000000,1.06197762,0.00000000
1.08402787,0.00000000,1.06340474,0.00000000
1.07957545,-0.00410729,1.06670905,0.00000000
1.08976818,0.00000000,1.05663780,-0.00944142
1.08095847,-0.00808402,1.06517968,-0.00143373
1.08440969,-0.00491709,1.06177884,-0.00462189
1.09372237,0.00000000,1.06983539,0.00000000
1.10059028,0.00000000,1.07655331,0.00000000
1.10378569,0.00000000,1.07967893,0.00000000
1.10311511,-0.00060753,1.07902300,-0.00060753
1.10576414,0.00000000,1.08161417,0.00000000
1.09451902,-0.01016955,1.09153209,0.00000000
1.09490936,-0.00981655,1.09301289,0.00000000
1.09379880,-0.01082088,1.09190426,-0.00101429
1.09159156,-0.01281701,1.09301578,0.00000000
1.09049210,-0.01381130,1.09082188,-0.00200720
1.08846906,-0.01564085,1.08879822,-0.00385865
1.09506273,-0.00967785,1.09539388,0.00000000
1.09930903,-0.00583770,1.09964147,0.00000000
1.10474381,-0.00092274,1.10507789,0.00000000
1.09620215,-0.00864741,1.09653366,-0.00773180
1.10202586,-0.00338073,1.10235912,-0.00246025
1.08792348,-0.01613424,1.08825248,-0.01522554
1.08275336,-0.02080985,1.09233592,-0.01153039
1.08153416,-0.02191243,1.09219827,-0.01165495
1.06571852,-0.03621534,1.10707765,0.00000000
1.06951031,-0.03278622,1.10313870,-0.00355797
1.07267103,-0.02992782,1.09987861,-0.00650274
1.07148357,-0.03100171,1.10109619,-0.00540293
1.05809937,-0.04310573,1.11485028,0.00000000
1.06179640,-0.03976232,1.11095497,-0.00349402
1.07044593,-0.03194010,1.10190498,-0.01161169
1.06900057,-0.03324721,1.10339282,-0.01027713
1.07101365,-0.03142668,1.10131498,-0.01214091
1.07342021,-0.02925030,1.09884033,-0.01436063
1.07123738,-0.03122435,1.10107486,-0.01235630
1.07515875,-0.02767805,1.09704426,-0.01597167
1.07738138,-0.02566800,1.09477638,-0.01800592
1.07378275,-0.02892244,1.09843312,-0.01472589
1.07920483,-0.02401897,1.10288124,-0.01073601
1.07601122,-0.02690711,1.09961757,-0.01366346
1.07905702,-0.02415264,1.10273019,-0.01087150
1.10641273,0.00000000,1.13068605,0.00000000
1.11083015,0.00000000,1.12504102,-0.00499256
1.10010717,-0.00965312,1.13590118,0.00000000
1.09307631,-0.01598250,1.14316081,0.00000000
1.08486758,-0.02337222,1.15174566,0.00000000
1.09586875,-0.01346867,1.16457676,0.00000000
1.08673283,-0.02169307,1.15486804,-0.00833669
1.08493060,-0.02331549,1.15562840,-0.00768379
1.08989528,-0.01884615,1.16207222,-0.00215060
1.08885257,-0.01978483,1.16202191,-0.00219380
1.09069788,-0.01812362,1.16515325,0.00000000
1.09492282,-0.01432022,1.16966660,0.00000000
1.09666198,-0.01275458,1.17152448,0.00000000
1.09485814,-0.01437845,1.16959750,-0.00164485
1.09402220,-0.01513098,1.16870449,-0.00240711
1.09355387,-0.01555258,1.16820420,-0.00283415
1.09625014,-0.01312533,1.17108452,-0.00037554
1.09933487,-0.01034837,1.17437983,0.00000000
1.09507157,-0.01418630,1.17775978,0.00000000
1.10081479,-0.00901610,1.17158289,-0.00524461
1.10159456,-0.00831414,1.17124120,-0.00553473
1.09946636,-0.01022999,1.16897845,-0.00745596
1.12212962,0.00000000,1.19307456,0.00000000
1.12084493,-0.00114487,1.19170864,-0.00114487
1.13047541,0.00000000,1.20194800,0.00000000
1.14802277,0.00000000,1.22060477,0.00000000
1.14076376,-0.00632306,1.21288681,-0.00632306
1.13697937,-0.00961949,1.20886317,-0.00961949
1.14047369,-0.00657573,1.21257840,-0.00657573
1.13498559,-0.01135621,1.20674333,-0.01135621
1.14029206,-0.00673394,1.21238529,-0.00673394
1.14805404,0.00000000,1.22063801,0.00000000
