Feature_Type,Metric,Mean,Std,Count
full,Test_Sharpe,5.76784,0.3414150890045722,5
full,Test_IC,0.15384,0.011102161951620056,5
price_funding_fng,Test_Sharpe,1.8333199999999998,0.5718926883603253,5
price_funding_fng,Test_IC,0.08198,0.018270112205457305,5
price_long_onchain,Test_Sharpe,-1.4836,0.47998586958367845,5
price_long_onchain,Test_IC,-0.030959999999999998,0.02714669408970455,5
price_onchain,Test_Sharpe,-0.8888,0.27232991021920455,5
price_onchain,Test_IC,0.01088,0.011799872880671216,5
price_funding,Test_Sharpe,-1.1184800000000001,0.5548562940077367,5
price_funding,Test_IC,-0.015239999999999998,0.018187028344399753,5
price_only,Test_Sharpe,-2.72156,0.5701345306153628,5
price_only,Test_IC,-0.021540000000000004,0.015921463500570544,5
