Model,Mean_Test_IC,Mean_Test_Sharpe,N_Test_IC,N_Test_Sharpe,Std_Test_IC,Std_Test_Sharpe
cnn_transformer,0.150180,5.186900,5.000000,5.000000,0.013917,0.440842
xgboost,0.127320,4.188580,5.000000,5.000000,0.005420,0.720044
transformer,0.128800,3.531320,5.000000,5.000000,0.008158,0.902910
timemixer,0.102940,3.479800,5.000000,5.000000,0.018276,1.130735
lstm_transformer,0.124820,3.015920,5.000000,5.000000,0.014697,1.855255
lstm,0.110840,2.999780,5.000000,5.000000,0.019965,0.843637
patchtst,0.100960,2.806640,5.000000,5.000000,0.025565,0.758140
modern_tcn,0.100280,1.887640,5.000000,5.000000,0.026837,1.162298
tcn,0.069080,0.616240,5.000000,5.000000,0.039307,1.965764
dlinear,0.073680,0.368040,5.000000,5.000000,0.015859,0.631560
