Model,Feature_Type,Lookback,Seed,Train_IC,Train_PIC,Train_DA,Train_MSE,Train_Sharpe,Train_IR,Train_MaxDrawdown,Train_AnnualReturn,Val_IC,Val_PIC,Val_DA,Val_MSE,Val_Sharpe,Val_IR,Val_MaxDrawdown,Val_AnnualReturn,Test_IC,Test_PIC,Test_DA,Test_MSE,Test_Sharpe,Test_IR,Test_MaxDrawdown,Test_AnnualReturn
cnn_transformer,full,12,0,0.139200,0.157700,0.545700,0.000191,4.981200,0.960300,0.358000,3.235600,0.138600,0.187700,0.538100,0.000119,5.580900,1.004100,0.126600,2.876600,0.122500,0.143400,0.542900,0.000075,4.257800,0.953500,0.227700,1.740400
cnn_transformer,full,12,1,0.124200,0.153800,0.533300,0.000191,4.561200,0.835400,0.364100,2.967500,0.134400,0.197100,0.528500,0.000118,5.299500,1.023500,0.165800,2.732000,0.109300,0.136600,0.529500,0.000076,2.850100,0.628900,0.227400,1.168100
cnn_transformer,full,12,123,0.132500,0.160900,0.535500,0.000192,3.714400,0.916500,0.529700,2.419300,0.141600,0.203000,0.540500,0.000120,5.254700,1.068700,0.167800,2.708000,0.122100,0.159200,0.531400,0.000076,2.255300,0.907100,0.185900,0.923900
cnn_transformer,full,12,2,0.133500,0.151500,0.534300,0.000191,5.107100,0.834100,0.366100,3.315100,0.151500,0.194500,0.543400,0.000118,5.777400,1.027300,0.138100,2.971700,0.134000,0.153500,0.546800,0.000075,5.530400,1.031600,0.138700,2.247800
cnn_transformer,full,12,42,0.127800,0.165300,0.532700,0.000193,4.861500,0.889200,0.376300,3.159200,0.145100,0.192800,0.541500,0.000120,6.021900,0.995500,0.135200,3.096500,0.135600,0.156800,0.544800,0.000076,5.093200,0.987000,0.150100,2.077900
cnn_transformer,full,24,0,0.142400,0.171100,0.532600,0.000191,5.068900,0.974300,0.280600,3.291900,0.142300,0.192600,0.536200,0.000119,5.553600,1.000000,0.157100,2.859300,0.137300,0.160600,0.540600,0.000075,5.419000,1.017800,0.140800,2.207600
cnn_transformer,full,24,1,0.141400,0.168600,0.528200,0.000193,4.293700,0.983200,0.438500,2.792400,0.147900,0.197100,0.531000,0.000121,4.866200,1.052600,0.227500,2.510700,0.165000,0.183500,0.549700,0.000075,5.997400,1.228600,0.154800,2.441000
cnn_transformer,full,24,123,0.114300,0.140100,0.523900,0.000191,4.066500,0.756700,0.378400,2.646700,0.127900,0.165800,0.541000,0.000120,5.394500,0.846400,0.171600,2.776700,0.137400,0.143400,0.545400,0.000076,5.272700,1.156500,0.137600,2.148400
cnn_transformer,full,24,2,0.145300,0.173100,0.533400,0.000191,5.522600,0.912600,0.270100,3.581400,0.169700,0.223400,0.547800,0.000118,6.710400,1.321800,0.154100,3.441400,0.141400,0.169600,0.543900,0.000075,5.650800,1.070800,0.139300,2.300000
cnn_transformer,full,24,42,0.137200,0.160700,0.536000,0.000192,5.384500,0.933900,0.318300,3.492000,0.162800,0.205300,0.551600,0.000119,7.088300,1.073200,0.126000,3.629300,0.145600,0.156600,0.539100,0.000075,4.693200,1.184300,0.170900,1.916900
cnn_transformer,full,96,0,0.143200,0.165100,0.539700,0.000190,4.770900,1.061600,0.395900,3.101300,0.148800,0.206800,0.548700,0.000117,6.259000,1.113000,0.131600,3.208000,0.151300,0.173200,0.550700,0.000075,4.574200,1.069600,0.205600,1.869500
cnn_transformer,full,96,1,0.141600,0.145300,0.528600,0.000192,4.150800,1.041000,0.368700,2.701100,0.171300,0.203500,0.539600,0.000119,4.216100,1.400500,0.233900,2.174300,0.159300,0.176900,0.541500,0.000075,4.303700,1.307800,0.177200,1.763200
cnn_transformer,full,96,123,0.139300,0.173900,0.532500,0.000191,4.922700,0.908900,0.313000,3.199100,0.152300,0.209600,0.541500,0.000118,6.364400,1.105600,0.104800,3.258400,0.139300,0.162100,0.551200,0.000075,6.122300,1.056200,0.139100,2.492200
cnn_transformer,full,96,2,0.158700,0.190100,0.541200,0.000190,5.154000,1.067000,0.334400,3.347000,0.159300,0.228400,0.552600,0.000117,6.934900,1.262100,0.117900,3.544700,0.174300,0.192500,0.551200,0.000075,5.235200,1.292800,0.169000,2.133700
cnn_transformer,full,96,42,0.138200,0.154800,0.541300,0.000192,4.184200,0.934200,0.370700,2.722900,0.159200,0.206600,0.544900,0.000118,5.756400,1.072900,0.141300,2.952900,0.156600,0.168800,0.545400,0.000076,4.159400,1.117700,0.250200,1.700400
cnn_transformer,full,48,0,0.128800,0.161700,0.534300,0.000190,4.745800,0.853700,0.340000,3.084700,0.151200,0.199400,0.554600,0.000117,7.221000,1.071300,0.128500,3.686000,0.130900,0.153800,0.546600,0.000075,5.266100,0.992000,0.181300,2.147900
cnn_transformer,full,48,1,0.140300,0.178400,0.534300,0.000192,5.427100,1.015900,0.376800,3.520000,0.155900,0.209100,0.542100,0.000119,5.148700,1.211700,0.169700,2.647700,0.148900,0.163400,0.548600,0.000075,5.652400,1.125200,0.186200,2.305500
cnn_transformer,full,48,123,0.142400,0.163200,0.540100,0.000190,4.802300,1.023800,0.401200,3.119700,0.163100,0.198200,0.546900,0.000117,6.504600,1.282600,0.156600,3.325000,0.150000,0.160500,0.542800,0.000075,4.748100,1.109200,0.223600,1.938400
