Model,Window,Train_Start_Date,Train_End_Date,Test_Start_Date,Test_End_Date,Train_IC,Val_IC,Test_IC,Train_PIC,Val_PIC,Test_PIC,Train_DA,Val_DA,Test_DA,Train_MSE,Val_MSE,Test_MSE,Train_Sharpe,Val_Sharpe,Test_Sharpe,Train_IR,Val_IR,Test_IR,Train_MaxDrawdown,Val_MaxDrawdown,Test_MaxDrawdown,Train_AnnualReturn,Val_AnnualReturn,Test_AnnualReturn
cnn_transformer,0,2020-01-09 00:00:00,2021-09-20 08:00:00,2022-01-08 00:00:00,2022-07-09 08:00:00,0.191800,0.153700,0.048800,0.229000,0.177000,0.107500,0.560300,0.538800,0.495000,0.000281,0.000201,0.000219,6.073800,5.433900,1.278300,1.425800,1.008000,0.294000,0.289400,0.154900,0.484800,,,
cnn_transformer,1,2020-07-09 12:00:00,2022-03-21 20:00:00,2022-07-09 12:00:00,2023-01-07 20:00:00,0.159400,0.074600,0.053100,0.177600,0.126400,0.076700,0.529900,0.508400,0.499500,0.000260,0.000220,0.000120,4.089500,3.661800,1.813900,1.074700,0.786900,0.292600,0.286000,0.129100,0.206700,,,
cnn_transformer,2,2021-01-08 00:00:00,2022-09-20 08:00:00,2023-01-08 00:00:00,2023-07-09 08:00:00,0.187900,0.067700,0.140700,0.224100,0.110900,0.200600,0.557900,0.516000,0.525100,0.000276,0.000083,0.000103,7.115600,3.049300,5.163500,1.141900,0.358200,0.854100,0.240700,0.120900,0.127300,,,
cnn_transformer,3,2021-07-09 12:00:00,2023-03-21 20:00:00,2023-07-09 12:00:00,2024-01-07 20:00:00,0.307900,0.119800,0.110600,0.324700,0.132500,0.139400,0.591200,0.520500,0.540600,0.000167,0.000081,0.000057,10.360200,2.104000,4.806300,2.077400,0.884000,0.809400,0.177000,0.129700,0.124300,,,
cnn_transformer,4,2022-01-08 00:00:00,2023-09-20 08:00:00,2024-01-08 00:00:00,2024-07-08 08:00:00,0.216400,0.156100,0.112900,0.263500,0.181500,0.151100,0.564300,0.547900,0.532400,0.000131,0.000065,0.000120,6.693400,5.922200,4.322100,1.228400,1.339100,0.531000,0.200800,0.081100,0.147300,,,
cnn_transformer,5,2022-07-09 12:00:00,2024-03-20 20:00:00,2024-07-08 12:00:00,2025-01-06 20:00:00,0.477100,0.044200,0.115700,0.449500,0.082100,0.116100,0.651100,0.496200,0.550700,0.000084,0.000113,0.000125,14.626600,0.244000,3.467600,3.202300,0.248100,0.949800,0.088400,0.180300,0.146500,,,
cnn_transformer,6,2023-01-08 00:00:00,2024-09-19 08:00:00,2025-01-07 00:00:00,2025-07-08 08:00:00,0.174100,0.110900,0.165000,0.230200,0.137600,0.198000,0.552200,0.544900,0.541600,0.000098,0.000101,0.000105,6.311800,5.916100,5.834300,1.112800,0.902800,1.550200,0.180300,0.155200,0.124400,,,
cnn_transformer,7,2023-07-09 12:00:00,2025-03-20 20:00:00,2025-07-08 12:00:00,2026-01-06 20:00:00,0.194000,0.193500,0.157700,0.224400,0.205500,0.188600,0.560800,0.538800,0.542500,0.000106,0.000072,0.000068,5.860400,7.102400,4.074300,1.357400,2.033400,1.103800,0.121500,0.069800,0.258200,,,
dlinear,0,2020-01-09 00:00:00,2021-09-20 08:00:00,2022-01-08 00:00:00,2022-07-09 08:00:00,0.464900,0.026200,0.063200,0.402200,0.004300,0.054900,0.667700,0.517500,0.526000,0.000256,0.000220,0.000230,15.422700,-2.577800,0.531900,2.633200,0.199000,0.515100,0.163100,0.480100,0.470300,,,
dlinear,1,2020-07-09 12:00:00,2022-03-21 20:00:00,2022-07-09 12:00:00,2023-01-07 20:00:00,0.434800,0.067100,-0.058800,0.399800,0.098100,-0.063900,0.654800,0.525100,0.482200,0.000233,0.000228,0.000139,14.966800,2.929700,-5.378200,2.523600,0.604900,-0.419500,0.105900,0.197300,0.763500,,,
dlinear,2,2021-01-08 00:00:00,2022-09-20 08:00:00,2023-01-08 00:00:00,2023-07-09 08:00:00,0.411500,-0.003600,-0.003600,0.379100,-0.009700,0.008500,0.653200,0.508400,0.503200,0.000251,0.000101,0.000120,14.200600,-1.511100,-1.939800,2.768300,0.001100,0.084500,0.170100,0.243500,0.534700,,,
dlinear,3,2021-07-09 12:00:00,2023-03-21 20:00:00,2023-07-09 12:00:00,2024-01-07 20:00:00,0.423600,0.002500,-0.011200,0.402000,0.012400,0.009700,0.643000,0.491600,0.505000,0.000153,0.000093,0.000071,13.084800,-3.506400,-3.209000,2.492600,0.176200,-0.136600,0.153200,0.413300,0.541100,,,
dlinear,4,2022-01-08 00:00:00,2023-09-20 08:00:00,2024-01-08 00:00:00,2024-07-08 08:00:00,0.429400,-0.059100,0.030700,0.387100,-0.051600,0.035100,0.660200,0.477900,0.521500,0.000117,0.000086,0.000135,14.133700,-4.409900,0.396500,2.736700,-0.232300,0.193800,0.090600,0.409700,0.392000,,,
dlinear,5,2022-07-09 12:00:00,2024-03-20 20:00:00,2024-07-08 12:00:00,2025-01-06 20:00:00,0.456900,0.093200,0.078900,0.395400,0.078700,0.060900,0.660500,0.534200,0.531500,0.000085,0.000117,0.000130,13.487600,1.744000,-0.305100,2.986900,0.711600,0.468600,0.106300,0.160900,0.331900,,,
dlinear,6,2023-01-08 00:00:00,2024-09-19 08:00:00,2025-01-07 00:00:00,2025-07-08 08:00:00,0.459600,0.019000,0.073000,0.407400,0.025400,0.068200,0.669600,0.519000,0.520500,0.000086,0.000115,0.000119,14.950700,-0.502400,0.802100,2.850400,0.230300,0.553400,0.067600,0.267900,0.281400,,,
dlinear,7,2023-07-09 12:00:00,2025-03-20 20:00:00,2025-07-08 12:00:00,2026-01-06 20:00:00,0.424000,0.018000,0.036200,0.381200,0.042100,0.061800,0.647600,0.528200,0.512300,0.000093,0.000086,0.000081,12.814100,0.110100,-0.978700,2.781500,0.090900,0.269900,0.138900,0.189200,0.354500,,,
lstm,0,2020-01-09 00:00:00,2021-09-20 08:00:00,2022-01-08 00:00:00,2022-07-09 08:00:00,0.163700,0.093200,0.098800,0.199700,0.101600,0.123400,0.532400,0.538800,0.537900,0.000288,0.000204,0.000218,4.108800,5.092000,4.629900,1.385600,0.691200,0.688700,0.350800,0.180800,0.156600,,,
lstm,1,2020-07-09 12:00:00,2022-03-21 20:00:00,2022-07-09 12:00:00,2023-01-07 20:00:00,0.197700,0.064600,0.072200,0.212500,0.075400,0.050800,0.505800,0.508400,0.516000,0.000264,0.000223,0.000118,1.931900,2.386700,0.193500,1.610200,0.744100,0.462900,0.679300,0.224800,0.265900,,,
lstm,2,2021-01-08 00:00:00,2022-09-20 08:00:00,2023-01-08 00:00:00,2023-07-09 08:00:00,0.167500,0.020600,0.102100,0.189400,0.101800,0.130700,0.538300,0.490100,0.500500,0.000279,0.000083,0.000105,6.256800,1.701000,2.183000,1.179900,0.103500,0.464100,0.253500,0.173000,0.361400,,,
lstm,3,2021-07-09 12:00:00,2023-03-21 20:00:00,2023-07-09 12:00:00,2024-01-07 20:00:00,0.131600,0.076600,0.111700,0.151400,0.100900,0.093100,0.532600,0.519000,0.537000,0.000173,0.000081,0.000058,5.118900,2.189300,4.639100,0.784000,0.432900,0.877700,0.184200,0.159200,0.119900,,,
lstm,4,2022-01-08 00:00:00,2023-09-20 08:00:00,2024-01-08 00:00:00,2024-07-08 08:00:00,0.149800,0.122100,0.019500,0.142400,0.171200,0.037100,0.535900,0.551000,0.499500,0.000134,0.000066,0.000123,3.170700,7.356300,0.901800,1.131400,0.945300,0.261000,0.310700,0.068900,0.348300,,,
lstm,5,2022-07-09 12:00:00,2024-03-20 20:00:00,2024-07-08 12:00:00,2025-01-06 20:00:00,0.149100,0.094200,0.078200,0.154900,0.104600,0.103100,0.510100,0.509900,0.494100,0.000099,0.000108,0.000122,0.889200,4.888600,1.728200,1.319300,0.996600,0.817000,0.510300,0.147600,0.319100,,,
lstm,6,2023-01-08 00:00:00,2024-09-19 08:00:00,2025-01-07 00:00:00,2025-07-08 08:00:00,0.310200,0.106800,0.123300,0.324100,0.127600,0.156000,0.546900,0.535800,0.510500,0.000099,0.000101,0.000108,4.525100,3.836600,2.631100,2.058100,0.769100,1.090000,0.165700,0.135000,0.175100,,,
lstm,7,2023-07-09 12:00:00,2025-03-20 20:00:00,2025-07-08 12:00:00,2026-01-06 20:00:00,0.133800,0.129500,0.033200,0.136400,0.127900,0.019100,0.534800,0.557100,0.505900,0.000107,0.000073,0.000069,4.223500,5.366900,1.195800,0.916400,1.165500,0.440000,0.268600,0.083100,0.247300,,,
lstm_transformer,0,2020-01-09 00:00:00,2021-09-20 08:00:00,2022-01-08 00:00:00,2022-07-09 08:00:00,0.099500,0.076100,0.059900,0.106600,0.047000,0.069700,0.526700,0.512900,0.516000,0.000290,0.000205,0.000219,2.708000,-0.523600,2.179100,1.059200,0.958800,0.768300,0.413100,0.439500,0.341300,,,
lstm_transformer,1,2020-07-09 12:00:00,2022-03-21 20:00:00,2022-07-09 12:00:00,2023-01-07 20:00:00,0.153600,0.050900,0.045400,0.173400,0.051500,0.056200,0.479700,0.512900,0.509600,0.000267,0.000223,0.000119,-1.173700,2.982100,0.942500,1.234200,0.957800,0.416600,0.912200,0.198500,0.238200,,,
lstm_transformer,2,2021-01-08 00:00:00,2022-09-20 08:00:00,2023-01-08 00:00:00,2023-07-09 08:00:00,0.010300,0.003500,0.053200,0.023500,0.013500,0.101900,0.498300,0.506800,0.460300,0.000291,0.000093,0.000118,0.606800,0.859900,-2.032400,-0.076100,0.066900,0.126500,0.629500,0.160800,0.437800,,,
lstm_transformer,3,2021-07-09 12:00:00,2023-03-21 20:00:00,2023-07-09 12:00:00,2024-01-07 20:00:00,0.146500,0.075300,0.109800,0.186400,0.102200,0.140900,0.534000,0.503800,0.545200,0.000174,0.000082,0.000058,5.837000,2.127100,4.542400,0.873300,0.431900,0.892800,0.281400,0.121800,0.092000,,,
lstm_transformer,4,2022-01-08 00:00:00,2023-09-20 08:00:00,2024-01-08 00:00:00,2024-07-08 08:00:00,0.129200,0.133400,0.065000,0.178100,0.131500,0.082400,0.528600,0.532700,0.516900,0.000135,0.000067,0.000122,2.942700,4.638400,1.603900,0.709400,1.176900,0.248900,0.244200,0.070900,0.284000,,,
lstm_transformer,5,2022-07-09 12:00:00,2024-03-20 20:00:00,2024-07-08 12:00:00,2025-01-06 20:00:00,0.137000,0.079300,0.121200,0.169500,0.118800,0.148300,0.527300,0.512900,0.518700,0.000099,0.000108,0.000121,4.791400,4.391900,4.151700,0.787300,0.370800,0.834000,0.202100,0.140600,0.218300,,,
lstm_transformer,6,2023-01-08 00:00:00,2024-09-19 08:00:00,2025-01-07 00:00:00,2025-07-08 08:00:00,0.146600,0.079000,0.102900,0.175600,0.101700,0.150300,0.538000,0.534200,0.509600,0.000100,0.000101,0.000107,3.687800,3.928800,3.790800,0.883100,0.352600,0.807800,0.196900,0.164000,0.125600,,,
lstm_transformer,7,2023-07-09 12:00:00,2025-03-20 20:00:00,2025-07-08 12:00:00,2026-01-06 20:00:00,0.136600,0.112900,0.101700,0.153900,0.162200,0.120500,0.547400,0.531200,0.533300,0.000106,0.000072,0.000068,4.804500,3.936900,3.298200,1.110500,1.143300,1.342300,0.190000,0.113900,0.193200,,,
modern_tcn,0,2020-01-09 00:00:00,2021-09-20 08:00:00,2022-01-08 00:00:00,2022-07-09 08:00:00,0.948000,0.084400,0.071000,0.750200,0.083400,0.106300,0.918900,0.506800,0.519600,0.000209,0.000206,0.000218,35.203400,1.065600,1.535500,23.347700,0.681000,0.564000,0.008200,0.261800,0.371900,,,
modern_tcn,1,2020-07-09 12:00:00,2022-03-21 20:00:00,2022-07-09 12:00:00,2023-01-07 20:00:00,0.938900,0.107300,0.051900,0.790600,0.129700,0.015000,0.906000,0.523600,0.495900,0.000184,0.000223,0.000127,38.292700,2.292400,-2.304300,25.364200,0.807200,0.218000,0.016800,0.251300,0.528200,,,
modern_tcn,2,2021-01-08 00:00:00,2022-09-20 08:00:00,2023-01-08 00:00:00,2023-07-09 08:00:00,0.945900,0.053800,0.052000,0.783500,0.056900,0.073500,0.911600,0.525100,0.514200,0.000195,0.000087,0.000107,39.142300,0.792000,0.667600,50.670300,0.357000,0.414200,0.010700,0.151000,0.180400,,,
modern_tcn,3,2021-07-09 12:00:00,2023-03-21 20:00:00,2023-07-09 12:00:00,2024-01-07 20:00:00,0.947500,0.078400,0.096500,0.863100,0.066500,0.054400,0.908400,0.529700,0.552500,0.000124,0.000082,0.000059,36.069800,1.066500,1.398200,23.416000,0.505100,0.808300,0.009400,0.193400,0.161000,,,
